,Country/Region,Lat,Long,variable,value
0,Afghanistan,33.93911,67.709953,2020-01-22,0
1,Albania,41.1533,20.1683,2020-01-22,0
2,Algeria,28.0339,1.6596,2020-01-22,0
3,Andorra,42.5063,1.5218,2020-01-22,0
4,Angola,-11.2027,17.8739,2020-01-22,0
5,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0
6,Argentina,-38.4161,-63.6167,2020-01-22,0
7,Armenia,40.0691,45.0382,2020-01-22,0
8,Austria,47.5162,14.5501,2020-01-22,0
9,Azerbaijan,40.1431,47.5769,2020-01-22,0
10,Bahamas,25.025885,-78.035889,2020-01-22,0
11,Bahrain,26.0275,50.55,2020-01-22,0
12,Bangladesh,23.685,90.3563,2020-01-22,0
13,Barbados,13.1939,-59.5432,2020-01-22,0
14,Belarus,53.7098,27.9534,2020-01-22,0
15,Belgium,50.8333,4.469936,2020-01-22,0
16,Belize,17.1899,-88.4976,2020-01-22,0
17,Benin,9.3077,2.3158,2020-01-22,0
18,Bhutan,27.5142,90.4336,2020-01-22,0
19,Bolivia,-16.2902,-63.5887,2020-01-22,0
20,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0
21,Botswana,-22.3285,24.6849,2020-01-22,0
22,Brazil,-14.235,-51.9253,2020-01-22,0
23,Brunei,4.5353,114.7277,2020-01-22,0
24,Bulgaria,42.7339,25.4858,2020-01-22,0
25,Burkina Faso,12.2383,-1.5616,2020-01-22,0
26,Burma,21.9162,95.956,2020-01-22,0
27,Burundi,-3.3731,29.9189,2020-01-22,0
28,Cabo Verde,16.5388,-23.0418,2020-01-22,0
29,Cambodia,11.55,104.9167,2020-01-22,0
30,Cameroon,3.848,11.5021,2020-01-22,0
31,Central African Republic,6.6111,20.9394,2020-01-22,0
32,Chad,15.4542,18.7322,2020-01-22,0
33,Chile,-35.6751,-71.543,2020-01-22,0
34,Colombia,4.5709,-74.2973,2020-01-22,0
35,Comoros,-11.6455,43.3333,2020-01-22,0
36,Congo (Brazzaville),-0.228,15.8277,2020-01-22,0
37,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0
38,Costa Rica,9.7489,-83.7534,2020-01-22,0
39,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0
40,Croatia,45.1,15.2,2020-01-22,0
41,Cuba,21.521757,-77.78116700000002,2020-01-22,0
42,Cyprus,35.1264,33.4299,2020-01-22,0
43,Czechia,49.8175,15.473,2020-01-22,0
44,Diamond Princess,0.0,0.0,2020-01-22,0
45,Djibouti,11.8251,42.5903,2020-01-22,0
46,Dominica,15.415,-61.371,2020-01-22,0
47,Dominican Republic,18.7357,-70.1627,2020-01-22,0
48,Ecuador,-1.8312,-78.1834,2020-01-22,0
49,Egypt,26.820553000000004,30.802498,2020-01-22,0
50,El Salvador,13.7942,-88.8965,2020-01-22,0
51,Equatorial Guinea,1.6508,10.2679,2020-01-22,0
52,Eritrea,15.1794,39.7823,2020-01-22,0
53,Estonia,58.5953,25.0136,2020-01-22,0
54,Eswatini,-26.5225,31.4659,2020-01-22,0
55,Ethiopia,9.145,40.4897,2020-01-22,0
56,Fiji,-17.7134,178.065,2020-01-22,0
57,Finland,61.92411,25.748151,2020-01-22,0
58,Gabon,-0.8037,11.6094,2020-01-22,0
59,Gambia,13.4432,-15.3101,2020-01-22,0
60,Georgia,42.3154,43.3569,2020-01-22,0
61,Germany,51.165691,10.451526,2020-01-22,0
62,Ghana,7.9465,-1.0232,2020-01-22,0
63,Greece,39.0742,21.8243,2020-01-22,0
